S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,Date and Time
                                        70,HIDCL,                                        184.80,                                        -1.20,                                        -0.65,                                        188.00,                                        188.80,                                        183.00,"                                        99,199.00",                                        186.00,2023-07-20 15:00:00
                                        71,HIDCLP,                                        103.90,                                        0.40,                                        0.39,                                        104.30,                                        105.30,                                        103.00,"                                        52,768.00",                                        103.50,2023-07-20 15:00:00
                                        72,HLI,                                        504.90,                                        -5.10,                                        -1.00,                                        499.80,                                        515.00,                                        499.80,"                                        173,777.00",                                        510.00,2023-07-20 15:00:00
                                        73,HPPL,                                        284.00,                                        4.00,                                        1.43,                                        285.60,                                        289.00,                                        264.30,"                                        134,398.00",                                        280.00,2023-07-20 15:00:00
                                        74,HURJA,                                        264.00,                                        2.10,                                        0.80,                                        256.70,                                        270.00,                                        256.70,"                                        22,870.00",                                        261.90,2023-07-20 15:00:00
                                        75,ICFC,                                        528.00,                                        -1.00,                                        -0.19,                                        539.50,                                        539.50,                                        525.00,"                                        18,051.00",                                        529.00,2023-07-20 15:00:00
                                        76,IGI,                                        570.10,                                        -14.90,                                        -2.55,                                        583.30,                                        583.90,                                        570.10,"                                        53,172.00",                                        585.00,2023-07-20 15:00:00
                                        77,IHL,                                        260.00,                                        3.60,                                        1.40,                                        255.00,                                        265.00,                                        255.00,"                                        7,423.00",                                        256.40,2023-07-20 15:00:00
                                        78,ILBS,                                        732.00,                                        -3.00,                                        -0.41,                                        720.30,                                        736.00,                                        708.00,"                                        2,526.00",                                        735.00,2023-07-20 15:00:00
                                        79,JALPA,"                                        1,633.00",                                        -30.00,                                        -1.80,"                                        1,635.00","                                        1,650.00","                                        1,621.00",                                        403.00,"                                        1,663.00",2023-07-20 15:00:00
                                        80,JBBL,                                        331.00,                                        9.40,                                        2.92,                                        315.20,                                        334.90,                                        315.20,"                                        254,598.00",                                        321.60,2023-07-20 15:00:00
                                        81,JBLB,"                                        1,664.00",                                        4.00,                                        0.24,"                                        1,626.80","                                        1,683.00","                                        1,626.80","                                        3,988.00","                                        1,660.00",2023-07-20 15:00:00
                                        82,JFL,                                        417.00,                                        -12.00,                                        -2.80,                                        430.00,                                        430.00,                                        417.00,"                                        13,237.00",                                        429.00,2023-07-20 15:00:00
                                        83,JOSHI,                                        264.00,                                        4.00,                                        1.54,                                        255.80,                                        266.10,                                        255.80,"                                        7,415.00",                                        260.00,2023-07-20 15:00:00
                                        84,JSLBB,"                                        1,040.00",                                        -14.60,                                        -1.38,"                                        1,035.00","                                        1,070.00","                                        1,015.00","                                        1,905.00","                                        1,054.60",2023-07-20 15:00:00
                                        85,KBL,                                        178.90,                                        -0.90,                                        -0.50,                                        181.00,                                        182.00,                                        176.00,"                                        330,135.00",                                        179.80,2023-07-20 15:00:00
                                        86,KBLPO,                                        113.00,                                        0.00,                                        0.00,                                        113.00,                                        113.00,                                        113.00,"                                        71,265.00",                                        113.00,2023-07-20 15:00:00
